0:0:0:0:0:0:0:1 - - [07/Feb/2018:20:20:06 -0500] "GET /AMSClient/assets/fonts/ElegantIcons.woff HTTP/1.1" 200 63664
0:0:0:0:0:0:0:1 - - [07/Feb/2018:20:20:06 -0500] "GET /AMSClient/assets/fonts/Pe-icon-7-stroke.woff?d7yf1v HTTP/1.1" 200 58556
0:0:0:0:0:0:0:1 - - [07/Feb/2018:20:20:06 -0500] "GET /AMSClient/assets/images/favicon.ico HTTP/1.1" 404 1064
0:0:0:0:0:0:0:1 - - [07/Feb/2018:20:20:13 -0500] "GET /AMSClient/assets/css/bootstrap.css.map HTTP/1.1" 404 1070
0:0:0:0:0:0:0:1 - - [07/Feb/2018:20:20:55 -0500] "GET /AMSServices//assetstate/list HTTP/1.1" 200 1404
0:0:0:0:0:0:0:1 - - [07/Feb/2018:20:20:55 -0500] "GET /AMSServices//assetmodel/list HTTP/1.1" 200 3956
0:0:0:0:0:0:0:1 - - [07/Feb/2018:20:21:13 -0500] "GET /AMSServices//assetstate/list HTTP/1.1" 200 1404
0:0:0:0:0:0:0:1 - - [07/Feb/2018:20:21:13 -0500] "GET /AMSServices//assetmodel/list HTTP/1.1" 200 3956
0:0:0:0:0:0:0:1 - - [07/Feb/2018:20:22:22 -0500] "GET /AMSServices//assetstate/list HTTP/1.1" 200 1404
0:0:0:0:0:0:0:1 - - [07/Feb/2018:20:22:22 -0500] "GET /AMSServices//assetmodel/list HTTP/1.1" 200 3956
0:0:0:0:0:0:0:1 - - [07/Feb/2018:20:22:27 -0500] "GET /AMSClient/views/assetTypes.html HTTP/1.1" 200 5497
0:0:0:0:0:0:0:1 - - [07/Feb/2018:20:22:27 -0500] "GET /AMSServices//assettype/list HTTP/1.1" 200 7161
0:0:0:0:0:0:0:1 - - [07/Feb/2018:20:22:27 -0500] "GET /AMSServices//category/list HTTP/1.1" 200 4332
0:0:0:0:0:0:0:1 - - [07/Feb/2018:20:22:27 -0500] "GET /AMSServices//assettype/list HTTP/1.1" 200 7161
0:0:0:0:0:0:0:1 - - [07/Feb/2018:20:22:28 -0500] "GET /AMSClient/views/vendor.html HTTP/1.1" 200 6271
0:0:0:0:0:0:0:1 - - [07/Feb/2018:20:22:28 -0500] "GET /AMSServices//vendor/list HTTP/1.1" 200 1564
0:0:0:0:0:0:0:1 - - [07/Feb/2018:20:22:28 -0500] "GET /AMSServices//vendor/list HTTP/1.1" 200 1564
0:0:0:0:0:0:0:1 - - [07/Feb/2018:20:26:05 -0500] "GET /AMSClient/assets/css/bootstrap.css.map HTTP/1.1" 404 1070
0:0:0:0:0:0:0:1 - - [07/Feb/2018:20:33:17 -0500] "GET /AMSClient/views/category.html HTTP/1.1" 200 3964
0:0:0:0:0:0:0:1 - - [07/Feb/2018:20:33:17 -0500] "GET /AMSServices//category/list HTTP/1.1" 200 4332
0:0:0:0:0:0:0:1 - - [07/Feb/2018:20:33:17 -0500] "GET /AMSServices//category/list HTTP/1.1" 200 4332
